Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
NZ_JBIWIT010000029.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus, viridans
NZ_AMZK01000043.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus, christensenii
NZ_JASOHD010000017.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Alloscardovia, omnicolens
NZ_KV803777.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerococcus
NZ_GG666063.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerococcus, lactolyticus
NZ_GG666315.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerococcus, tetradius
NZ_KE952952.1, Bacteria, Actinomycetota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Atopobium
NZ_JAWLQY010000027.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, longum
NZ_JAJBPP010000043.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, breve
NZ_JAJCRT010000018.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Dialister, invisus
NZ_AENT01000003.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Dialister, micraerophilus
NZ_KQ961059.1, Bacteria, Actinomycetota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Fannyhessea, vaginae
NZ_JAJDKT010000073.1, Bacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium, ulcerans
NZ_JBGONE010000038.1, Bacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium, animalis
NZ_KI518450.1, Bacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium, nucleatum
NZ_JASOME010000020.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, vaginalis
NR_171541.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, leopoldii
NR_171540.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, swidsinskii
NZ_JASOME010000020.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, vaginalis
NZ_GL872342.1, Bacteria, Pseudomonadota, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, parainfluenzae
NZ_ADEF01000068.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Hoylesella, Hoylesella, timonensis
NZ_JADCKH010000038.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, crispatus
NZ_JADCKH010000038.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, crispatus
NZ_JAWWWY010000070.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, gasseri
NZ_PNGO01000009.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, iners
NZ_JAWWXF010000042.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, jensenii
NZ_JAVTXD010000041.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, mulieris
NZ_CABTXI010000220.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, uncultured, Megasphaera
NZ_NFMF01000018.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Megasphaera, hutchinsoni
NZ_ADGP01000031.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Megasphaera, lornae
NZ_FMZL01000049.1, Bacteria, Actinomycetota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Parafannyhessea, umbonata
NZ_CABSDR010000099.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, uncultured, Parvimonas
NZ_AENP01000017.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Peptoniphilus, harei
NZ_JBBNGY010000023.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Peptoniphilus, lacrimalis
NZ_CAXUJS010000060.1, Bacteria, Bacillota, Clostridia, Peptostreptococcales, Peptostreptococcaceae, Peptostreptococcus, anaerobius
NZ_QPGS01000077.1, Bacteria, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, Porphyromonas, gingivalis
NZ_JAERMS010000082.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, illustrans
NZ_KQ960568.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, amnii
NZ_KQ971204.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, bivia
NZ_JRNR01000254.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, disiens
NZ_LOQF01000021.1, Bacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, Sneathia, sanguinegens
NZ_JBHLSP010000031.1, Bacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, Sneathia, vaginalis
NZ_JAPAHR010000040.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, anginosus
NZ_ABER01000004.1, Bacteria, Mycoplasmatota, Mycoplasmoidales, Mycoplasmoidaceae, Ureaplasma, Ureaplasma, parvum
NZ_JRNT01000025.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Veillonella, montpellierensis
