index,d__Bacteria;__;__;__;__;__;__,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitalea_A;s__Defluviitalea_A phaphyphila,Unassigned;__;__;__;__;__;__,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;__,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium leopoldii,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Haemophilus_D_735815;s__Haemophilus_D_735815 pittmaniae,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521;f__Fusobacteriaceae_993521;g__Fusobacterium_C;__,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus vaginalis,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Haemophilus_D_735815;__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Buchnera;__,Platform,Strategy,Source,Layout
Illumina_NR_025423.1,0.0,0.0,0.0,0.0,0.0,6503.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ,AMPLICON,METAGENOMIC,PAIRED
Illumina_NR_171541.1,0.0,0.0,0.0,0.0,6508.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_ABES01000007.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6468.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_ADEF01000068.1,6505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_AFIJ01000031.1,6482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_AMZK01000007.1,6466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_CABTXI010000220.1,0.0,0.0,6579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_CAXUJS010000060.1,6450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_FNWT01000022.1,6478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_GG666064.1,6498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
