Bifidobacterium swidsinskii;
Fannyhessea vaginae;
Megasphaera hutchinsoni;
Bifidobacterium piotii;
Bifidobacterium vaginale;
Sneathia vaginalis;
Prevotella bivia;
Lactobacillus crispatus;
Berryella sp001552935;
Prevotella disiens;
Dialister sp001553355;
Lactobacillus iners;
Lactobacillus mulieris;
Lactobacillus jensenii;
Bifidobacterium leopoldii;
Bifidobacterium vaginale_A;
Megasphaera lornae;
Nanoperiomorbus sp004136275;
Lactobacillus gasseri;
Ureaplasma parvum;
Haemophilus_D parainfluenzae_J;
Streptococcus anginosus;
Bifidobacterium breve;
Aerococcus christensenii;
Sneathia sanguinegens;
Anaerococcus tetradius;
Prevotella timonensis;
Peptostreptococcus anaerobius;
Peptoniphilus_A harei_A;
Prevotella timonensis_A;
Prevotella amnii;
Bifidobacterium (Genus level);
Prevotella (Genus level);
Fusobacterium animalis;
Alloscardovia omnicolens;
Anaerococcus lactolyticus;
Gardnerella (Genus level);
Gardnerella vaginalis;
Megasphaera sp.;
Sneathia amnionii;
family level: Ruminococcaceae;
Lactobacillus (Genus level);
Atopobium vaginae;
Olsenella umbonata;
family level: Peptoniphilaceae;
Lactobacillus fornicalis;
Atopobium sp.;
family level: Prevotellaceae;
family level: Porphyromonadaceae;
family level: Coriobacteriaceae;
Mycoplasma hominis;
Megasphaera (Genus level);
Atopobium (Genus level);
Prevotella sp.;
family level: Veillonellaceae;
Dialister (Genus level);
Dialister micraerophilus;
Haemophilus parainfluenzae;
Haemophilus pittmaniae;
Aerococcus (Genus level);
Anaerococcus (Genus level);
Porphyromonas (Genus level);
Veillonella montpellierensis;
Fusobacterium (Genus level);
Fusobacterium nucleatum;
family level: Clostridiaceae;
Parvimonas sp.;
family level: Pasteurellaceae;
family level: Fusobacteriaceae;
