Feature ID    Taxon   Confidence
NR_025423.1 d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__ 0.9762670961221015
NR_171541.1 d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__ 0.9999952302023656
NZ_ABES01000007.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9592446325169541
NZ_ADEF01000068.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.7837740503459153
NZ_AMZK01000007.1 d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__ 0.989403578022588
NZ_CABTXI010000220.1 Unassigned 0.3825912733227078
NZ_CAXUJS010000060.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.8049088641833027
NZ_FNWT01000022.1 d__Bacteria 0.8959421377247362
NZ_GG666064.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9883025058497729
NZ_GG666315.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9923329712190956
NZ_GL878522.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9919422045359434
NZ_JAERMS010000083.1 d__Bacteria 0.7033543875320646
NZ_JAJCRT010000018.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.8267011641100491
NZ_JAJDKT010000074.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9904601136060891
NZ_JANDZW010000012.1 d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Parvimonas;s__ 0.9999990362065699
NZ_JASOME010000020.1 d__Bacteria 0.7102530478541373
NZ_JASOSB010000012.1 d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Peptoniphilus;s__ 0.9999186857313026
NZ_JASSPP010000023.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9754757580315462
NZ_JAVTXF010000046.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9564744334926414
NZ_JAWWWY010000070.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.96053709266037
NZ_JAWWXF010000042.1 d__Bacteria 0.7365646956429093
NZ_JAWWYB010000046.1 Unassigned 0.3720332573019026
NZ_JBBNGY010000024.1 d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Peptoniphilus;s__ 0.9999868705974276
NZ_JBGONE010000038.1 d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__ 0.9999999643710289
NZ_JBHLSP010000031.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9558389552254202
NZ_JBIWIT010000029.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9577671443923701
NZ_JRNR01000257.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.8113187206433083
NZ_JRNT01000025.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9825504924852015
NZ_JRNU01000149.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.7412022770833248
NZ_KE952952.1 Unassigned 0.345045178031393
NZ_KI518418.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9881477309767667
NZ_KQ955743.1 d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__ 0.7244601720069613
NZ_KQ961074.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9615604205853477
NZ_KQ971204.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9807297431851455
NZ_KV803777.1 d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Anaerococcus;s__ 0.9999999974807565
NZ_NFMF01000018.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.8506715765946984
NZ_NQOJ01000020.1 d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__ 0.9999569466298704
NZ_PNGO01000009.1 d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__ 0.7984193914041032
NZ_QJVB01000008.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9322566989797011
NZ_QPGS01000077.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.7138444866844058
NZ_QSQE01000022.1 d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__ 0.8978894129396996
NZ_VYVJ01000030.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.952819133080579
NZ_WBMB01000033.1 d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__ 0.7674817828848903
NZ_WUBT01000032.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9949017685067357
