Feature ID    Taxon   Confidence
NR_025423.1 d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__ 0.9855957827412525
NR_171541.1 d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__ 0.9999999947628169
NZ_ABES01000007.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9991679115904201
NZ_ADEF01000068.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9844226113542955
NZ_AFIJ01000031.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.931430886944258
NZ_AMZK01000007.1 d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__ 0.9999999566339861
NZ_CABTXI010000220.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9567832288134885
NZ_CAXUJS010000060.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9989245855228522
NZ_FNWT01000022.1 Unassigned 0.48150075047258734
NZ_GG666064.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9991942319371742
NZ_GG666315.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9996716244054411
NZ_GL878522.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.999868112686415
NZ_JADCKH010000039.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9927803334448451
NZ_JAERMS010000083.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.8586422757429016
NZ_JAJCRT010000018.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9890794880586455
NZ_JAJDKT010000074.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9993751118142367
NZ_JANDZW010000012.1 d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Parvimonas;s__ 0.9999999999993179
NZ_JASOME010000020.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9455654113907878
NZ_JASOSB010000012.1 d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Peptoniphilus;s__ 0.9999999995150688
NZ_JASSPP010000023.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9993030640862626
NZ_JAVTXF010000046.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9982249597317667
NZ_JAWWXF010000042.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9768777999649583
NZ_JAWWYB010000046.1 Unassigned 0.3211325684016222
NZ_JBBNGY010000024.1 d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Peptoniphilus;s__ 0.9999998736683517
NZ_JBGONE010000038.1 d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__ 1.0
NZ_JBHLSP010000031.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9990362172266642
NZ_JBIWIT010000029.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9924452272951492
NZ_JRNR01000257.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.9710365781480769
NZ_JRNT01000025.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.999738439283302
NZ_JRNU01000149.1 d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__ 0.8314269557038417
NZ_KE952952.1 Unassigned 0.37714904675540206
