index,Taxonomy
NR_025423.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__
NR_171541.1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__
NZ_ABES01000007.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_ADEF01000068.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_AFIJ01000031.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_AMZK01000007.1,Unassigned;__;__;__;__;__;__
NZ_CABTXI010000220.1,Unassigned;__;__;__;__;__;__
NZ_CAXUJS010000060.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_FNWT01000022.1,d__Bacteria;__;__;__;__;__;__
NZ_GG666064.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_GG666315.1,Unassigned;__;__;__;__;__;__
NZ_GL878522.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_JAERMS010000083.1,Unassigned;__;__;__;__;__;__
NZ_JAJCRT010000018.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_JAJDKT010000074.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_JANDZW010000012.1,Unassigned;__;__;__;__;__;__
NZ_JASOME010000020.1,Unassigned;__;__;__;__;__;__
NZ_JASOSB010000012.1,Unassigned;__;__;__;__;__;__
NZ_JASSPP010000023.1,Unassigned;__;__;__;__;__;__
NZ_JAVTXF010000046.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_JAWWWY010000070.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_JAWWXF010000042.1,d__Bacteria;__;__;__;__;__;__
NZ_JAWWYB010000046.1,Unassigned;__;__;__;__;__;__
NZ_JBBNGY010000024.1,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Peptoniphilus;s__
NZ_JBGONE010000038.1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
NZ_JBHLSP010000031.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_JBIWIT010000029.1,Unassigned;__;__;__;__;__;__
NZ_JRNR01000257.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_JRNT01000025.1,
NZ_JRNU01000149.1,Unassigned;__;__;__;__;__;__
NZ_KE952952.1,Unassigned;__;__;__;__;__;__
NZ_KI518418.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_KQ955743.1,d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
NZ_KQ961074.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_KQ971204.1,Unassigned;__;__;__;__;__;__
NZ_KV803777.1,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Anaerococcus;s__
NZ_NFMF01000018.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_NQOJ01000020.1,Unassigned;__;__;__;__;__;__
NZ_QJVB01000008.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_QSQE01000022.1,Unassigned;__;__;__;__;__;__
NZ_VYVJ01000030.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_WBMB01000033.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__
NZ_WUBT01000032.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
NZ_PNGO01000009.1,
NZ_QPGS01000077.1,
