Feature ID,Confidence,Kingdom,Phylum,Class,Order,Family,Genus,Species
NR_025423.1,0.9762670961221016,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,
NR_171541.1,0.9999952302023656,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,
NZ_ABES01000007.1,0.959244632516954,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_ADEF01000068.1,0.7837740503459153,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_AMZK01000007.1,0.989403578022588,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,
NZ_CABTXI010000220.1,0.3825912733227078,Unassigned,,,,,,
NZ_CAXUJS010000060.1,0.8049088641833027,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_FNWT01000022.1,0.8959421377247362,Bacteria,,,,,,
NZ_GG666064.1,0.9883025058497727,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_GG666315.1,0.9923329712190956,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_GL878522.1,0.9919422045359434,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JAERMS010000083.1,0.7033543875320646,Bacteria,,,,,,
NZ_JAJCRT010000018.1,0.8267011641100491,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JAJDKT010000074.1,0.9904601136060892,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JANDZW010000012.1,0.99999903620657,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family,Parvimonas,
NZ_JASOME010000020.1,0.7102530478541373,Bacteria,,,,,,
NZ_JASOSB010000012.1,0.9999186857313026,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family,Peptoniphilus,
NZ_JASSPP010000023.1,0.9754757580315462,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JAVTXF010000046.1,0.9564744334926414,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JAWWWY010000070.1,0.96053709266037,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JAWWXF010000042.1,0.7365646956429093,Bacteria,,,,,,
NZ_JAWWYB010000046.1,0.3720332573019026,Unassigned,,,,,,
NZ_JBBNGY010000024.1,0.9999868705974276,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family,Peptoniphilus,
NZ_JBGONE010000038.1,0.9999999643710288,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
NZ_JBHLSP010000031.1,0.9558389552254202,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JBIWIT010000029.1,0.95776714439237,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JRNR01000257.1,0.8113187206433083,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JRNT01000025.1,0.9825504924852017,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_JRNU01000149.1,0.7412022770833248,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_KE952952.1,0.345045178031393,Unassigned,,,,,,
NZ_KI518418.1,0.9881477309767668,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_KQ955743.1,0.7244601720069613,Eukaryota,Cnidaria,Myxozoa,Bivalvulida,Bivalvulida,Bivalvulida,
NZ_KQ961074.1,0.9615604205853476,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
