index,Kingdom,Phylum,Class,Order,Family,Genus,Species
NZ_ADEF01000068.1,Bacteria,,,,,,
NZ_AMZK01000007.1,Unassigned,,,,,,
NZ_CABTXI010000220.1,Bacteria,,,,,,
NZ_CAXUJS010000060.1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA5272,UBA11704,UBA11704 sp003518045
NZ_JAJCRT010000018.1,Bacteria,,,,,,
NZ_JANDZW010000012.1,Bacteria,,,,,,
NZ_JBIWIT010000029.1,Bacteria,,,,,,
NZ_KE952952.1,Unassigned,,,,,,
NZ_KI518418.1,Bacteria,,,,,,
NZ_KQ971204.1,Bacteria,,,,,,
NZ_PNGO01000009.1,Unassigned,,,,,,
NZ_QSQE01000022.1,Unassigned,,,,,,
NZ_WUBT01000032.1,Bacteria,,,,,,
NZ_GL878522.1,Unassigned,,,,,,
NZ_WBMB01000033.1,Unassigned,,,,,,
NZ_FNWT01000022.1,Unassigned,,,,,,
NZ_ABES01000007.1,Unassigned,,,,,,
NZ_JBGONE010000038.1,Unassigned,,,,,,
NZ_JADCKH010000039.1,Unassigned,,,,,,
NZ_JRNR01000257.1,Unassigned,,,,,,
NZ_GG666064.1,Unassigned,,,,,,
NZ_KQ961074.1,Unassigned,,,,,,
NZ_GG666315.1,Unassigned,,,,,,
NZ_KQ955743.1,Unassigned,,,,,,
NZ_JAWWXF010000042.1,Unassigned,,,,,,
NZ_JRNT01000025.1,Unassigned,,,,,,
NZ_JBHLSP010000031.1,Unassigned,,,,,,
NZ_JASOME010000020.1,Unassigned,,,,,,
NZ_JBBNGY010000024.1,Unassigned,,,,,,
NZ_JAJDKT010000074.1,Unassigned,,,,,,
NZ_QJVB01000008.1,Unassigned,,,,,,
NZ_AFIJ01000031.1,Unassigned,,,,,,
NZ_QPGS01000077.1,Unassigned,,,,,,
NZ_JASSPP010000023.1,Unassigned,,,,,,
NR_025423.1,Unassigned,,,,,,
NZ_JAWWYB010000046.1,Unassigned,,,,,,
NZ_KV803777.1,Unassigned,,,,,,
NZ_JRNU01000149.1,Unassigned,,,,,,
NZ_NFMF01000018.1,Unassigned,,,,,,
NZ_VYVJ01000030.1,Unassigned,,,,,,
NZ_JASOSB010000012.1,Unassigned,,,,,,
NZ_JAERMS010000083.1,Unassigned,,,,,,
NR_171541.1,Unassigned,,,,,,
NZ_JAVTXF010000046.1,Unassigned,,,,,,
