Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
NZ_JBIWIT010000029.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus, viridans
NZ_AMZK01000043.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus, christensenii
NZ_JASOHD010000017.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Alloscardovia, omnicolens
NZ_KV803777.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerococcus
NZ_GG666065.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerococcus, lactolyticus
NZ_GG666321.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerococcus, tetradius
NZ_KE952959.1, Bacteria, Actinomycetota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Atopobium
NZ_JAWWYB010000049.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, breve
NZ_JAWWYB010000049.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, breve
NZ_JBHRJO010000300.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Dialister, invisus
NZ_GL878523.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Dialister, micraerophilus
NZ_KQ961074.1, Bacteria, Actinomycetota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Fannyhessea, vaginae
NZ_JBJDSC010000016.1, Bacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium
NZ_JBGONE010000038.1, Bacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium, animalis
NZ_KI518455.1, Bacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium, nucleatum
NZ_NQOJ01000020.1, Bacteria, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, Gardnerella, vaginalis
NR_171541.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, leopoldii
NZ_QJVB01000008.1, Bacteria, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, Gardnerella, swidsinskii
NZ_NQOJ01000020.1, Bacteria, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, Gardnerella, vaginalis
NZ_GL872342.1, Bacteria, Pseudomonadota, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, parainfluenzae
NR_025423.1, Bacteria, Pseudomonadota, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, pittmaniae
NZ_ADEF01000068.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Hoylesella, Hoylesella, timonensis
NZ_JBJDUD010000135.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, helveticus
NZ_JAHOZA010000280.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, crispatus
NR_026509.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, fornicalis
NZ_WUBU01000034.1, Bacteria, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus, gasseri
NZ_PNGO01000009.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, iners
NZ_VYWW01000076.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, jensenii
NZ_JAVTXF010000048.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, mulieris
NZ_JBIEKR010000019.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Megasphaera, hexanoica
NZ_NFMF01000019.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Megasphaera, hutchinsoni
NZ_ADGP01000031.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Megasphaera, lornae
NZ_FNWT01000023.1, Bacteria, Coriobacteriia, Coriobacteriales, Atopobiaceae, Parafannyhessea, Parafannyhessea, umbonata
NZ_CABSDR010000099.1, Bacteria, Tissierellia, Tissierellales, Peptoniphilaceae, Parvimonas, uncultured, Parvimonas
NZ_JAWHIB010000028.1, Bacteria, Tissierellia, Tissierellales, Peptoniphilaceae, Peptoniphilus, Peptoniphilus, harei
NZ_JBBNGY010000024.1, Bacteria, Tissierellia, Tissierellales, Peptoniphilaceae, Peptoniphilus, Peptoniphilus, lacrimalis
NZ_CAXUJS010000062.1, Bacteria, Clostridia, Peptostreptococcales, Peptostreptococcaceae, Peptostreptococcus, Peptostreptococcus, anaerobius
NZ_QPGS01000079.1, Bacteria, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, Porphyromonas, gingivalis
NZ_LBGT01000020.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, intermedia
NZ_KQ960568.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, amnii
NZ_KQ971222.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, bivia
NZ_JRNR01000258.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, disiens
NZ_JASSPP010000023.1, Bacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, Sneathia, sanguinegens
NZ_JBHLSP010000035.1, Bacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, Sneathia, vaginalis
NZ_JAHZQR010000025.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, anginosus
NZ_ABES01000009.1, Bacteria, Mycoplasmoidales, Mycoplasmoidaceae, Ureaplasma, Ureaplasma, parvum
NZ_AUFY01000038.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Veillonella, montpellierensis
